PC1,100,600
PC2,300,600
SW1,200,600
PC3,100,700
PC4,300,700
SW2,200,700
PC5,100,800
PC6,300,800
SW3,200,800
PC7,450,600
PC8,650,600
SW4,550,600
PC9,450,700
PC10,650,700
SW5,550,700
PC11,450,800
PC12,650,800
SW6,550,800
PC13,800,600
PC14,1000,600
SW7,900,600
PC15,800,700
PC16,1000,700
SW8,900,700
PC17,800,800
PC18,1000,800
SW9,900,800
R1,200,450
R2,550,450
R3,900,450
PC19,100,50
PC20,300,50
SW12,200,50
PC21,100,150
PC22,300,150
SW11,200,150
PC23,100,250
PC24,300,250
SW10,200,250
PC25,450,50
PC26,650,50
SW15,550,50
PC27,450,150
PC28,650,150
SW14,550,150
PC29,450,250
PC30,650,250
SW13,550,250
PC31,800,50
PC32,1000,50
SW18,900,50
PC33,800,150
PC34,1000,150
SW17,900,150
PC35,800,250
PC36,1000,250
SW16,900,250
R4,200,350
R5,550,350
R6,900,350
